epoch;accuracy;iou_coef;loss;val_accuracy;val_iou_coef;val_loss
16;0.8542045;0.50822216;0.1583453844818804;0.8407552;0.4821049;0.16356913695732753
17;0.85821956;0.5223745;0.15239793974906207;0.86212486;0.46210557;0.16069445920487244
18;0.8666462;0.5297224;0.14827030835052332;0.8608879;0.46578616;0.15713924827675024
19;0.8665978;0.532349;0.14681091774255037;0.871507;0.5271082;0.15586334007481734
20;0.8695325;0.54189324;0.14351001307368277;0.8692164;0.5056056;0.15771800708025693
21;0.8751714;0.557027;0.13564391268624199;0.87206596;0.54069746;0.15936113521456718
22;0.8789261;0.568733;0.1309826782387164;0.83953017;0.49996093;0.16064725425094367
23;0.87014407;0.5550547;0.13851231009595924;0.8204669;0.4552546;0.17311799352367718
24;0.87132096;0.5471286;0.13793478514999152;0.87137806;0.5354484;0.1845234698926409
25;0.88026613;0.575807;0.12869167110572258;0.84987795;0.52393746;0.1562099987640977
26;0.88277215;0.5850501;0.12354191535462936;0.8706022;0.55841297;0.159339979570359
27;0.88250995;0.5814911;0.1263796044099662;0.87529296;0.5186077;0.16075697392225266
28;0.88494325;0.59231323;0.12008601975523764;0.875827;0.5701162;0.17947687953710556
29;0.884484;0.5947324;0.12069973786258036;0.8691025;0.5254476;0.15211155451834202
30;0.88488394;0.6010306;0.11636384663482507;0.8741839;0.5709203;0.15462332392732303
31;0.89075994;0.6176194;0.11146938498649332;0.86296946;0.5218307;0.14440215614934762
32;0.8919103;0.61703515;0.11000500675290822;0.8703987;0.5515474;0.14745514318346978
33;0.89472765;0.6240778;0.10837854035198688;0.8716423;0.58535385;0.1565075594931841
34;0.8965735;0.62982965;0.10465810673518314;0.87823945;0.5868725;0.15818548124904433
35;0.89940804;0.63587403;0.10297445499648651;0.8782351;0.578496;0.16027665038903555
36;0.9011045;0.64908314;0.09823078196495771;0.87086105;0.56717265;0.15376572754854959
37;0.90229756;0.6507486;0.09727953111545908;0.873688;0.5780334;0.15095231914892793
38;0.90314466;0.6491493;0.09741962772483627;0.87114537;0.5723384;0.15359426389137903
39;0.90596443;0.66190684;0.09287140239030123;0.8798826;0.5970069;0.17688869778066874
40;0.90789396;0.66593236;0.0919911204216381;0.8768969;0.5893138;0.16770711056888105
41;0.9119371;0.67270577;0.08857043280990587;0.87829363;0.5952552;0.17247809978822867
42;0.9106244;0.67579335;0.08840710970883568;0.8615176;0.58141243;0.15361752109602095
43;0.911133;0.67192096;0.08979152033312453;0.87831444;0.59930927;0.18032243788863223
44;0.91784483;0.69142216;0.08231374266453916;0.87626445;0.59762937;0.16901034768670797
45;0.91659874;0.69040865;0.083519972809073;0.8728653;0.6027383;0.20192135398586591
46;0.9161519;0.6868655;0.083710367915531;0.87276965;0.5996377;0.16801426379630963
47;0.91986364;0.6996779;0.08004335557214087;0.8784147;0.558143;0.17134124524891375
48;0.922598;0.7029571;0.07810566984117032;0.8766238;0.6005677;0.1872299550101161
